contentid,title,mapx,mapy,nx,ny
2796833,영안지,128.6048522,35.51347987,89,83
2792873,읍성,128.7564396,35.49181287,92,82
2648416,한천 테마파크,128.8802704,35.59104009,94,85
1955408,향교,128.7545643,35.50664728,92,83
2790492,밀양호,128.9343411,35.47570963,95,82
2808100,바구스스파,127.3425087,36.32176259,67,100
2717594,바늘꽃피우다,126.4524737,36.78187475,51,110
1933217,바늘오름,126.6540101,33.4537042,55,37
2775365,바다공룡 워케이션,128.297998,35.01674961,84,72
2633912,바다향기수목원,126.6465274,37.22507132,54,119
2758861,바둑이네동물원,126.6578509,36.31121852,55,99
2783144,바라길 (태안해변길 1코스),126.2073595,36.89767661,47,112
2755034,바람개비 마을,126.9213876,36.13073817,59,96
2726636,바람곶우체국,128.6938635,34.80698574,91,67
2988365,바람마을 치즈체험장,128.7132824,37.68801971,90,130
129408,바람새마을,127.0201744,37.01337462,61,115
2606226,바람새마을 소풍정원,127.018569,37.01058325,61,115
3019402,바람쐬는길,127.1626022,35.81163429,64,89
128895,바람아래해수욕장,126.3769541,36.41332144,50,102
129479,바람의 언덕,128.6633373,34.74408388,91,66
2761431,바람재쉼터,127.323918,36.44872273,66,103
126675,바래봉,127.577995,35.4224551,71,80
2820027,바른스포츠월드,127.4230995,36.59919336,68,106
