contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid
127480,가거도(소흑산도),전라남도 신안군 흑산면 가거도길 38-2,(흑산면),38,12,125.1125145360,34.0740166502,20240514161814,,,A01,A0101,A01011300,12
126273,가계해수욕장,전라남도 진도군 고군면 신비의바닷길 47,(고군면),38,21,126.3547412438,34.4354594945,20240604170101,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image3_1.jpg,A01,A0101,A01011200,12
2019720,가고파 꼬부랑길 벽화마을,경상남도 창원시 마산합포구 성호서7길 15-8,,36,16,128.5696552845,35.2077664004,20230412105954,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image3_1.jpg,A02,A0203,A02030100,12
2994116,가곡유황온천&스파,강원특별자치도 삼척시 가곡면 탕곡리,509-3,32,4,129.2062296318,37.1507494904,20240531154313,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image3_1.jpg,A02,A0202,A02020300,12
129194,가나아트파크,경기도 양주시 장흥면 권율로 117,,31,18,126.9497496852,37.7254519094,20231213141137,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,A02,A0202,A02020600,12
2777865,가남체육공원,경기도 여주시 가남읍 대명산길 98,,31,20,127.5349142281,37.2017093544,20230206130357,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,A02,A0202,A02020700,12
2715601,가덕도,부산광역시 강서구 천성동 308-2,,6,1,128.8169442487,35.0229638330,20230707163011,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image3_1.jpg,A01,A0101,A01011300,12
129156,가덕도 등대,부산광역시 강서구 외양포로 10,,6,1,128.8295937487,35.0006471157,20240805151945,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image3_1.jpg,A01,A0101,A01011600,12
2726843,가덕도 연대봉,부산광역시 강서구 천성동,,6,1,128.8216713782,35.0317518247,20231228143423,,,A01,A0101,A01010400,12
2789460,가덕도대항인공동굴,부산광역시 강서구 대항동 393-9,(대항동),6,1,128.8274685924,35.0133095493,20240812131236,,,A01,A0101,A01011900,12
3015365,가덕도외양포전망대,부산광역시 강서구 대항동,162-1,6,1,128.8310519246,35.0017831264,20230926105937,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image3_1.JPG,A02,A0205,A02050600,12
125462,가덕산,경기도 가평군 북면,,31,1,127.5683098007,37.9202321907,20240731171429,,,A01,A0101,A01010400,12
127257,가라산,경상남도 거제시 남부면 다대리,(남부면),36,1,128.6303346514,34.7410502933,20240613111544,,,A01,A0101,A01010400,12
2753576,가래실 문화마을,경상북도 영천시 화산면 가래실로 364,,35,15,128.8892738816,36.0328070074,20231012135334,,,A02,A0201,A02010600,12
2743285,가력도항,전북특별자치도 부안군 변산면 새만금로 447-27,,37,6,126.5314023248,35.7269248004,20240118174312,,,A01,A0101,A01011400,12
125658,가령폭포,강원특별자치도 홍천군 내촌면 와야리,,32,16,128.1601919204,37.8328951114,20240823152226,,,A01,A0101,A01010800,12
