contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid,NX,NY
969271,한국역사문화음식학교 라선재,경상북도 경주시 현곡면 용담로 443-51,,35.0,2.0,129.2865888,35.84358311,20240500000000.0,http://tong.visitkorea.or.kr/cms/resource/87/3033987_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3033987_image3_1.jpg,A02,A0206,A02061400,12,100,89
2452918,한국영화박물관,서울특별시 마포구 월드컵북로 400,(상암동),1.0,13.0,126.8898676,37.5804316,20240500000000.0,,,A02,A0204,A02040800,12,57,126
1836287,한국유림독립운동파리장서비,서울특별시 중구 동호로 261,,1.0,24.0,127.0041162,37.55760297,20240500000000.0,http://tong.visitkorea.or.kr/cms/resource/81/3077681_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/3077681_image3_1.JPG,A02,A0205,A02050200,12,59,126
3013117,한국이슬람교 서울중앙성원,서울특별시 용산구 한남동,,1.0,21.0,126.997823,37.53315014,20230900000000.0,http://tong.visitkorea.or.kr/cms/resource/36/3012836_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/3012836_image3_1.JPG,A02,A0201,A02010900,12,59,125
1686562,한국전통문화체험학교,충청북도 제천시 덕산면 월악산로4길 10,(덕산면),33.0,7.0,128.1379772,36.89179224,20231200000000.0,,,A02,A0203,A02030200,12,79,111
1081744,한국전통음식문화체험관(정강원),강원특별자치도 평창군 용평면 금당계곡로 2010-13,(용평면),32.0,15.0,128.4080774,37.57088018,20240500000000.0,http://tong.visitkorea.or.kr/cms/resource/00/3070800_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3070800_image3_1.jpg,B02,B0201,B02011600,12,83,126
1928360,한국전통주연구소,서울특별시 종로구 자하문로 62,(효자동) 3층,1.0,23.0,126.9710796,37.58159125,20231200000000.0,http://tong.visitkorea.or.kr/cms/resource/61/1928361_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1928361_image2_1.jpg,A02,A0203,A02030400,12,59,126
2461797,한국지역난방공사 고양지사,경기도 고양시 일산동구 경의로,(백석동),31.0,2.0,126.7970076,37.64528906,20230600000000.0,,,A02,A0204,A02040800,12,56,127
1282839,한국차문화공원,전라남도 보성군 보성읍 녹차로 775,,38.0,10.0,127.081751,34.71979239,20230300000000.0,http://tong.visitkorea.or.kr/cms/resource/30/2516330_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2516330_image2_1.jpg,A02,A0202,A02020700,12,61,64
2470539,한국차박물관,전라남도 보성군 보성읍 녹차로 775,(보성읍),38.0,10.0,127.0817371,34.7198646,20240800000000.0,http://tong.visitkorea.or.kr/cms/resource/59/3351159_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/3351159_image3_1.jpg,A02,A0204,A02040800,12,61,64
