contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid
3081404,안산산업역사박물관,경기도 안산시 단원구 초지동,,31,15,126.8172341994,37.3230157521,20240115152234,http://tong.visitkorea.or.kr/cms/resource/96/3081396_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/96/3081396_image3_1.JPG,A02,A0206,A02060100,14
3035802,안산세계문화체험관,경기도 안산시 단원구 원곡동,,31,15,126.7917362935,37.3311282484,20231110095159,http://tong.visitkorea.or.kr/cms/resource/79/3002579_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/3002579_image3_1.jpg,A02,A0206,A02060800,14
2761633,안산올림픽기념관,경기도 안산시 단원구 적금로 202,(고잔동),31,15,126.8273470837,37.3260683551,20240730171019,http://tong.visitkorea.or.kr/cms/resource/93/3340293_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3340293_image3_1.jpg,A02,A0206,A02060200,14
130439,안성 3.1운동기념관,경기도 안성시 원곡면 만세로 868,,31,16,127.1752784178,37.0627716844,20231205175616,http://tong.visitkorea.or.kr/cms/resource/29/1589729_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1589729_image3_1.jpg,A02,A0206,A02060200,14
130547,안성 남사당 공연장,경기도 안성시 보개면 남사당로 198-2,,31,16,127.3101448759,37.0318221187,20240529175454,http://tong.visitkorea.or.kr/cms/resource/81/1781881_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/1781881_image3_1.jpg,A02,A0206,A02060600,14
130440,안성맞춤박물관,경기도 안성시 대덕면 서동대로 4726-15,,31,16,127.2283306103,37.0114035624,20240620133839,http://tong.visitkorea.or.kr/cms/resource/17/2996017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2996017_image3_1.jpg,A02,A0206,A02060100,14
2747170,안성맞춤아트홀,경기도 안성시 발화대길 21,(현수동),31,16,127.2789568725,37.0014500623,20231012170443,http://tong.visitkorea.or.kr/cms/resource/85/2750585_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/85/2750585_image2_1.png,A02,A0206,A02060600,14
129870,안성문화원,경기도 안성시 보개면 종합운동장로 203,,31,16,127.3240857757,37.0142327321,20231031093753,http://tong.visitkorea.or.kr/cms/resource/00/191200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/191200_image3_1.jpg,A02,A0206,A02060700,14
130867,안성시 중앙도서관,경기도 안성시 안성맞춤대로 1150,(금산동),31,16,127.2684379935,37.0152260620,20231205180108,http://tong.visitkorea.or.kr/cms/resource/14/191414_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/191414_image3_1.jpg,A02,A0206,A02060900,14
3335937,안양그린마루,경기도 안양시 만안구 화창로 10 (석수동),,31,17,126.8963688302,37.4167229547,20240722154951,http://tong.visitkorea.or.kr/cms/resource/08/3335908_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3335908_image3_1.jpg,A02,A0206,A02060300,14
129858,안양문화원,경기도 안양시 만안구 현충로 53,(안양동),31,17,126.9258030004,37.3904209753,20231207144127,http://tong.visitkorea.or.kr/cms/resource/88/1852788_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1852788_image3_1.jpg,A02,A0206,A02060700,14
